apple.ticker,apple.date,apple.dividend
AAPL,1995-11-21,0.03
AAPL,1995-08-16,0.03
AAPL,1995-05-26,0.03
AAPL,1995-02-13,0.03
AAPL,1994-11-18,0.03
AAPL,1994-08-15,0.03
AAPL,1994-05-27,0.03
AAPL,1994-02-07,0.03
AAPL,1993-11-19,0.03
AAPL,1993-08-16,0.03
AAPL,1993-05-28,0.03
AAPL,1993-02-12,0.03
AAPL,1992-11-30,0.03
AAPL,1992-08-17,0.03
AAPL,1992-06-01,0.03
AAPL,1992-02-14,0.03
AAPL,1991-11-18,0.03
AAPL,1991-08-19,0.03
AAPL,1991-05-20,0.03
AAPL,1991-02-15,0.03
AAPL,1990-11-16,0.03
